ID;Verein;Position;Elo;EAR-180;Elo-Rang;Elo-ID;Elo-Name
pl-k00063799;Österreich;FORWARD;1636.9;-0.51;2138;25297;M. Gregoritsch
pl-k00063855;Neuseeland;FORWARD;1207.3;-1.68;6358;6865;K. Barbarouses
pl-k00063869;Japan;DEFENDER;1409.2;-0.49;4341;440;Y. Nagatomo
pl-k00063918;Brasilien;FORWARD;1643.2;1.44;2079;276;Neymar
pl-k00064027;Schottland;DEFENDER;1704.1;1.18;1594;19066;G. Hanley
pl-k00064038;Türkei;MIDFIELDER;2073.9;2.86;111;1640;H. Çalhanoğlu
pl-k00065748;Kap Verde;DEFENDER;1294.7;0.0;5485;2331;Stopira
pl-k00065996;Ghana;FORWARD;1512.1;-0.75;3319;3428;J. Ayew
pl-k00066526;Deutschland;DEFENDER;2020.5;0.91;218;2285;A. Rüdiger
pl-k00066754;Deutschland;MIDFIELDER;2027.0;0.47;197;511;L. Goretzka
pl-k00067156;USA;DEFENDER;1611.8;1.19;2365;19023;T. Ream
pl-k00067266;Kroatien;MIDFIELDER;1960.7;0.0;356;2291;M. Kovačić
pl-k00067749;Frankreich;DEFENDER;2112.4;-2.18;67;2724;L. Digne
pl-k00068111;Australien;MIDFIELDER;1380.1;0.0;4632;2751;M. Leckie
pl-k00068757;Kolumbien;GOALKEEPER;1687.6;0.48;1718;313;D. Ospina
pl-k00069274;Paraguay;GOALKEEPER;1642.0;0.0;2089;2497;R. Fernández
pl-k00069568;DR Kongo;FORWARD;1691.1;-0.75;1696;3033;C. Bakambu
pl-k00069797;England;DEFENDER;1977.7;-0.05;302;18961;D. Burn
pl-k00070267;Brasilien;DEFENDER;1797.1;-0.49;999;860;Alex Sandro
pl-k00070270;Brasilien;DEFENDER;1869.8;0.7;642;618;Danilo
pl-k00070281;Tschechien;MIDFIELDER;1416.5;2.86;4268;25348;V. Darida
pl-k00070495;Belgien;DEFENDER;1884.0;0.22;598;264;T. Meunier
pl-k00070592;Deutschland;DEFENDER;2110.8;2.38;71;972;J. Tah
pl-k00070605;England;FORWARD;2194.3;4.56;27;184;H. Kane
pl-k00070654;Brasilien;MIDFIELDER;2036.1;2.87;174;747;Casemiro
pl-k00070756;Bosnien-Herzegowina;DEFENDER;1841.2;-2.89;777;1442;S. Kolašinac
pl-k00070960;Curacao;FORWARD;1468.7;0.0;3749;18981;J. Locadia
pl-k00071150;Deutschland;DEFENDER;2192.6;6.46;29;502;J. Kimmich
pl-k00071862;Kolumbien;DEFENDER;1537.8;-0.74;3067;30;S. Arias
pl-k00071888;Niederlande;FORWARD;1677.5;0.2;1803;667;M. Depay
pl-k00072478;Niederlande;GOALKEEPER;1920.7;0.0;455;26232;M. Flekken
pl-k00072654;Frankreich;GOALKEEPER;1969.9;1.2;326;22221;M. Maignan
pl-k00072663;Elfenbeinküste;MIDFIELDER;1708.0;0.21;1561;30807;S. Fofana
pl-k00072712;Curacao;DEFENDER;1640.4;-0.96;2104;37175;R. Bazoer
pl-k00072716;Niederlande;DEFENDER;1996.3;0.47;260;18861;N. Aké
pl-k00072755;Deutschland;GOALKEEPER;1915.0;3.12;477;399;A. Nübel
pl-k00073097;Australien;DEFENDER;1518.4;0.46;3256;2742;M. Degenek
pl-k00073206;Österreich;MIDFIELDER;1937.4;2.1;406;1159;M. Sabitzer
pl-k00073311;Österreich;MIDFIELDER;1395.3;-0.25;4480;417;A. Schöpf
pl-k00073393;Ghana;DEFENDER;1699.1;-0.01;1635;21996;A. Baba
pl-k00073842;Kap Verde;DEFENDER;1462.8;1.67;3807;69260;Pico
pl-k00073943;Mexiko;FORWARD;1816.8;-0.51;896;2887;R. Jiménez
pl-k00074093;Ägypten;MIDFIELDER;1967.7;1.89;334;306;Mohamed Salah
pl-k00074274;Senegal;FORWARD;1236.1;;6070;339419;E. Mané
