ID;Verein;Position;Marktwert TM;TM-Stärke;exp_games;Erwartete Spiele (TM);exp_gd;Erwartete Tordifferenz (TM)
pl-k00117736;Saudi-Arabien;FORWARD;;0.0;3.316;0.0;-5.57;-0.0
pl-k00117738;Saudi-Arabien;MIDFIELDER;;0.0;3.316;0.0;-5.57;-0.0
pl-k00117763;Südafrika;FORWARD;;0.0;3.314;0.0;-4.325;-0.0
pl-k00117780;Panama;MIDFIELDER;;0.0;3.879;0.0;-2.104;-0.0
pl-k00117789;Panama;FORWARD;;0.0;3.879;0.0;-2.104;-0.0
pl-k00117900;Südafrika;GOALKEEPER;;0.0;3.314;0.0;-4.325;-0.0
pl-k00117968;DR Kongo;FORWARD;11000000;0.3929;3.371;1.3243;-4.126;-1.6209
pl-k00117979;Algerien;MIDFIELDER;12000000;0.3;3.705;1.1115;-2.846;-0.8538
pl-k00118072;Österreich;DEFENDER;900000;0.0281;4.129;0.1161;-1.1;-0.0309
pl-k00118242;Paraguay;MIDFIELDER;;0.0;4.452;0.0;0.178;0.0
pl-k00118244;Tunesien;GOALKEEPER;;0.0;3.434;0.0;-3.766;-0.0
pl-k00118384;USA;FORWARD;15000000;0.25;3.74;0.935;-2.316;-0.579
pl-k00118385;Kanada;MIDFIELDER;;0.0;4.653;0.0;1.822;0.0
pl-k00118616;Portugal;MIDFIELDER;;0.0;5.302;0.0;3.99;0.0
pl-k00118634;Norwegen;DEFENDER;3500000;0.0175;4.789;0.0838;0.91;0.0159
pl-k00118662;Tschechien;GOALKEEPER;7000000;0.28;4.198;1.1754;-0.433;-0.1212
pl-k00118670;Tschechien;DEFENDER;4000000;0.16;4.198;0.6717;-0.433;-0.0693
pl-k00118676;Tschechien;MIDFIELDER;;0.0;4.198;0.0;-0.433;-0.0
pl-k00118737;Schweden;DEFENDER;15000000;0.125;3.796;0.4745;-2.337;-0.2921
pl-k00118751;Schottland;FORWARD;18000000;0.4;4.12;1.648;-0.984;-0.3936
pl-k00118755;USA;MIDFIELDER;6000000;0.1;3.74;0.374;-2.316;-0.2316
pl-k00118788;Brasilien;FORWARD;45000000;0.25;5.351;1.3378;5.126;1.2815
pl-k00119808;Algerien;MIDFIELDER;9000000;0.225;3.705;0.8336;-2.846;-0.6404
pl-k00119829;Portugal;DEFENDER;75000000;0.6818;5.302;3.615;3.99;2.7205
pl-k00120081;Elfenbeinküste;DEFENDER;22000000;0.44;3.89;1.7116;-2.143;-0.9429
pl-k00120099;Tschechien;DEFENDER;22000000;0.88;4.198;3.6942;-0.433;-0.381
pl-k00120125;Tschechien;MIDFIELDER;;0.0;4.198;0.0;-0.433;-0.0
pl-k00121256;DR Kongo;DEFENDER;700000;0.025;3.371;0.0843;-4.126;-0.1032
pl-k00121260;Senegal;DEFENDER;1500000;0.0333;4.598;0.1533;0.171;0.0057
pl-k00121357;Schweden;FORWARD;6500000;0.0542;3.796;0.2056;-2.337;-0.1266
pl-k00121878;Elfenbeinküste;FORWARD;28000000;0.56;3.89;2.1784;-2.143;-1.2001
pl-k00121912;Tschechien;MIDFIELDER;;0.0;4.198;0.0;-0.433;-0.0
pl-k00123095;Spanien;MIDFIELDER;40000000;0.3333;6.547;2.1823;13.21;4.4033
pl-k00123112;Südkorea;MIDFIELDER;;0.0;4.339;0.0;0.171;0.0
pl-k00123303;USA;FORWARD;22000000;0.3667;3.74;1.3713;-2.316;-0.8492
pl-k00123383;Mexiko;DEFENDER;10000000;0.25;4.905;1.2262;2.864;0.716
pl-k00123466;Mexiko;MIDFIELDER;;0.0;4.905;0.0;2.864;0.0
pl-k00123544;Neuseeland;FORWARD;;0.0;3.48;0.0;-3.434;-0.0
pl-k00123545;Neuseeland;MIDFIELDER;500000;0.0625;3.48;0.2175;-3.434;-0.2146
pl-k00123553;Neuseeland;DEFENDER;600000;0.075;3.48;0.261;-3.434;-0.2576
pl-k00123555;Neuseeland;MIDFIELDER;3000000;0.375;3.48;1.305;-3.434;-1.2878
pl-k00123588;Ägypten;MIDFIELDER;1500000;0.0231;3.951;0.0912;-1.446;-0.0334
pl-k00123602;Niederlande;GOALKEEPER;35000000;0.3889;5.268;2.0487;3.773;1.4673
pl-k00123610;Spanien;MIDFIELDER;80000000;0.6667;6.547;4.3647;13.21;8.8067
pl-k00123794;Senegal;MIDFIELDER;35000000;0.7778;4.598;3.5762;0.171;0.133
pl-k00123844;Ecuador;DEFENDER;50000000;0.4545;5.04;2.2909;4.088;1.8582
