ID;Verein;Position;Elo;EAR-180;z_Elo;z_EAR;Qualität;Pos-Rang im Team;Qualitäts-Multiplikator (Basis);Qualitäts-Multiplikator;exp_games;Erwartete Spiele (Qualität);exp_gd;Erwartete Tordifferenz (Qualität)
pl-k00085906;Schottland;DEFENDER;1912.1;1.89;0.7568;0.8405;0.7987;1;0.557;0.557;4.12;2.2947;-0.984;-0.5481
pl-k00085917;Schottland;FORWARD;1686.0;0.71;0.1073;0.3191;0.2132;1;0.4142;0.4142;4.12;1.7065;-0.984;-0.4076
pl-k00086035;Portugal;FORWARD;1940.3;1.66;0.9477;1.0029;0.9753;3;0.567;0.567;5.302;3.0065;3.99;2.2625
pl-k00086109;Kroatien;DEFENDER;1862.9;0.2;0.5955;-0.4154;0.09;5;0.4115;0.2057;4.93;1.0143;2.779;0.5718
pl-k00086141;Deutschland;FORWARD;2046.5;0.47;1.2986;0.1463;0.7225;2;0.5163;0.5163;5.097;2.6318;3.97;2.0499
pl-k00086183;Tschechien;DEFENDER;1811.9;1.65;0.4283;0.6622;0.5452;1;0.5049;0.5049;4.198;2.1197;-0.433;-0.2186
pl-k00086391;Spanien;DEFENDER;1907.2;2.1;0.7408;0.9966;0.8687;6;0.5713;0.2857;6.547;1.8703;13.21;3.7737
pl-k00086584;Ghana;FORWARD;1860.4;-2.9;0.6836;-2.2797;-0.798;7;0.2114;0.1057;3.144;0.3323;-6.374;-0.6737
pl-k00086910;Spanien;FORWARD;1711.8;-1.47;0.1925;-1.2503;-0.5289;8;0.2654;0.1327;6.547;0.8687;13.21;1.7529
pl-k00087248;Uruguay;GOALKEEPER;1823.8;0.0;0.7197;-0.4717;0.124;2;0.5355;0.2677;4.672;1.2509;1.55;0.415
pl-k00087254;Kroatien;DEFENDER;1673.3;0.23;-0.0262;-0.3931;-0.2097;6;0.35;0.175;4.93;0.8627;2.779;0.4863
pl-k00087278;Norwegen;MIDFIELDER;1677.9;-0.5;0.0638;-0.9094;-0.4228;9;0.2961;0.148;4.789;0.7089;0.91;0.1347
pl-k00087371;Bosnien-Herzegowina;GOALKEEPER;1295.1;-0.24;-0.89;-0.7147;-0.8023;3;0.3163;0.1582;3.738;0.5912;-2.61;-0.4128
pl-k00087507;Kap Verde;DEFENDER;1572.8;-1.68;-0.3557;-1.8126;-1.0842;7;0.1704;0.0852;3.272;0.2788;-5.876;-0.5007
pl-k00087512;Haiti;GOALKEEPER;1217.1;0.72;-1.1274;0.2572;-0.4351;1;0.4032;0.4032;3.218;1.2974;-5.302;-2.1377
pl-k00087534;Frankreich;MIDFIELDER;1840.3;1.67;0.6254;0.5721;0.5988;4;0.525;0.2625;6.141;1.6121;7.58;1.9898
pl-k00087576;Ghana;DEFENDER;1791.3;1.16;0.3607;0.298;0.3294;1;0.4606;0.4606;3.144;1.4482;-6.374;-2.936
pl-k00087622;Türkei;GOALKEEPER;1933.0;1.92;1.0521;1.4719;1.262;2;0.8047;0.4024;4.976;2.0022;2.252;0.9061
pl-k00087673;Schweiz;GOALKEEPER;2011.4;0.24;1.2908;-0.2288;0.531;2;0.6318;0.3159;5.181;1.6366;4.737;1.4964
pl-k00087704;Österreich;DEFENDER;1938.1;0.22;0.8421;-0.4006;0.2208;5;0.4383;0.2192;4.129;0.9049;-1.1;-0.2411
pl-k00087705;Bosnien-Herzegowina;FORWARD;1803.6;-0.75;0.4959;-0.732;-0.118;1;0.3478;0.3478;3.738;1.3;-2.61;-0.9077
pl-k00087735;Türkei;FORWARD;1762.5;1.42;0.3601;0.8302;0.5951;4;0.4908;0.2454;4.976;1.2211;2.252;0.5526
pl-k00087750;Deutschland;DEFENDER;1971.0;2.6;0.95;1.3682;1.1591;5;0.631;0.3155;5.097;1.608;3.97;1.2524
pl-k00087823;Südkorea;MIDFIELDER;1108.1;;-1.9069;0.0;-0.9534;7;0.1771;0.0886;4.339;0.3843;0.171;0.0151
pl-k00087867;Elfenbeinküste;MIDFIELDER;2078.3;0.92;1.4485;0.0601;0.7543;1;0.5599;0.5599;3.89;2.1779;-2.143;-1.1998
pl-k00087885;Deutschland;FORWARD;1909.0;2.37;0.8442;1.5141;1.1791;1;0.6079;0.6079;5.097;3.0986;3.97;2.4135
pl-k00087974;Tschechien;MIDFIELDER;1693.2;2.61;0.1167;1.2138;0.6653;2;0.5399;0.5399;4.198;2.2666;-0.433;-0.2338
pl-k00088045;Spanien;DEFENDER;2124.2;-2.89;1.4523;-2.7119;-0.6298;8;0.2637;0.1319;6.547;0.8633;13.21;1.7418
pl-k00088049;Spanien;FORWARD;2058.3;0.89;1.3376;0.4486;0.8931;2;0.5506;0.5506;6.547;3.6046;13.21;7.273
pl-k00088147;Algerien;GOALKEEPER;1632.4;1.44;0.137;0.986;0.5615;1;0.639;0.639;3.705;2.3675;-2.846;-1.8186
pl-k00088151;Frankreich;DEFENDER;2243.4;4.29;1.8431;2.6242;2.2337;1;0.8516;0.8516;6.141;5.2294;7.58;6.4548
pl-k00088249;Curacao;FORWARD;1503.4;0.71;-0.4962;0.3191;-0.0886;3;0.3537;0.3537;3.121;1.1039;-6.73;-2.3803
pl-k00088739;Uruguay;MIDFIELDER;1919.7;1.43;0.9;0.4082;0.6541;2;0.5374;0.5374;4.672;2.5109;1.55;0.833
pl-k00088771;USA;MIDFIELDER;1883.5;-0.25;0.7748;-0.7387;0.0181;7;0.3949;0.1974;3.74;0.7384;-2.316;-0.4573
pl-k00088866;Paraguay;DEFENDER;1676.6;0.23;-0.0154;-0.3931;-0.2043;4;0.3511;0.1755;4.452;0.7815;0.178;0.0312
pl-k00088946;Curacao;FORWARD;1252.3;0.0;-1.3261;-0.192;-0.759;7;0.2192;0.1096;3.121;0.3421;-6.73;-0.7377
pl-k00088970;Ghana;GOALKEEPER;1663.6;2.4;0.2319;1.9579;1.0949;1;0.7652;0.7652;3.144;2.4058;-6.374;-4.8774
pl-k00089012;Niederlande;FORWARD;1561.9;-0.96;-0.3029;-0.8831;-0.593;7;0.2525;0.1263;5.268;0.6652;3.773;0.4764
pl-k00089060;Japan;DEFENDER;1839.9;3.58;0.5201;2.0965;1.3083;1;0.6616;0.6616;4.848;3.2074;1.906;1.261
pl-k00089096;Portugal;GOALKEEPER;1803.6;0.24;0.6582;-0.2288;0.2147;3;0.5569;0.2785;5.302;1.4765;3.99;1.1111
pl-k00089148;Schweden;DEFENDER;2023.9;-1.47;1.1234;-1.6566;-0.2666;7;0.3383;0.1691;3.796;0.642;-2.337;-0.3953
pl-k00089308;Schweiz;MIDFIELDER;1668.4;0.47;0.0309;-0.2472;-0.1081;6;0.3666;0.1833;5.181;0.9497;4.737;0.8683
pl-k00089313;Spanien;GOALKEEPER;1902.6;-1.44;0.9596;-1.9295;-0.4849;3;0.3914;0.1957;6.547;1.2813;13.21;2.5852
pl-k00089321;Spanien;MIDFIELDER;2165.5;3.6;1.7501;1.8897;1.8199;3;0.7987;0.7987;6.547;5.229;13.21;10.5507
pl-k00089322;Spanien;MIDFIELDER;2206.3;-0.01;1.8912;-0.5749;0.6582;5;0.5383;0.2692;6.547;1.7622;13.21;3.5557
pl-k00089356;Schweiz;DEFENDER;2073.4;1.92;1.2857;0.8628;1.0743;1;0.6135;0.6135;5.181;3.1788;4.737;2.9064
pl-k00089361;Schweiz;MIDFIELDER;1882.8;-0.02;0.7724;-0.5817;0.0954;4;0.4122;0.2061;5.181;1.0678;4.737;0.9763
pl-k00089434;Österreich;MIDFIELDER;1870.3;0.21;0.7292;-0.4247;0.1523;7;0.4249;0.2125;4.129;0.8773;-1.1;-0.2337
pl-k00089444;Frankreich;FORWARD;2054.7;1.38;1.3257;0.8014;1.0636;6;0.5847;0.2924;6.141;1.7955;7.58;2.2162
pl-k00089452;Kap Verde;MIDFIELDER;1351.2;-0.49;-1.0661;-0.9026;-0.9843;5;0.1702;0.0851;3.272;0.2785;-5.876;-0.5001
pl-k00089457;Niederlande;MIDFIELDER;2021.9;3.09;1.2535;1.5415;1.3975;1;0.704;0.704;5.268;3.7088;3.773;2.6563
pl-k00089649;Algerien;DEFENDER;2023.2;2.13;1.1211;1.0189;1.07;2;0.6127;0.6127;3.705;2.2699;-2.846;-1.7437
pl-k00089655;Tunesien;MIDFIELDER;1708.2;-0.03;0.1686;-0.5885;-0.21;2;0.3438;0.3438;3.434;1.1805;-3.766;-1.2946
pl-k00089781;Haiti;DEFENDER;1629.0;0.45;-0.1714;-0.2296;-0.2005;2;0.3518;0.3518;3.218;1.1322;-5.302;-1.8654
pl-k00090003;Curacao;MIDFIELDER;1506.4;1.64;-0.5294;0.5516;0.0111;2;0.3933;0.3933;3.121;1.2275;-6.73;-2.647
pl-k00090018;Marokko;MIDFIELDER;1795.5;0.69;0.4705;-0.097;0.1868;6;0.4327;0.2163;4.418;0.9558;0.331;0.0716
pl-k00090022;Curacao;FORWARD;1431.0;-0.96;-0.7355;-0.8831;-0.8093;8;0.2091;0.1046;3.121;0.3264;-6.73;-0.7038
pl-k00090036;England;FORWARD;2025.5;0.23;1.2292;-0.0265;0.6014;6;0.4921;0.246;5.687;1.3992;6.383;1.5704
pl-k00090042;Österreich;DEFENDER;1747.3;0.23;0.2165;-0.3931;-0.0883;9;0.3749;0.1874;4.129;0.7739;-1.1;-0.2062
pl-k00090213;Österreich;DEFENDER;1904.2;1.65;0.7309;0.6622;0.6966;2;0.536;0.536;4.129;2.2131;-1.1;-0.5896
pl-k00090353;Türkei;DEFENDER;1916.8;1.91;0.7722;0.8554;0.8138;1;0.5601;0.5601;4.976;2.7869;2.252;1.2613
pl-k00090404;Portugal;DEFENDER;1855.6;-0.51;0.5716;-0.9431;-0.1858;8;0.3549;0.1774;5.302;0.9407;3.99;0.708
pl-k00090515;Spanien;MIDFIELDER;1993.3;1.88;1.1546;0.7155;0.935;4;0.6004;0.3002;6.547;1.9653;13.21;3.9655
pl-k00090525;Kolumbien;MIDFIELDER;1733.0;-0.02;0.2543;-0.5817;-0.1637;6;0.3541;0.1771;5.21;0.9225;3.512;0.6219
pl-k00090574;Kroatien;GOALKEEPER;2081.4;0.0;1.5039;-0.4717;0.5161;2;0.6283;0.3141;4.93;1.5487;2.779;0.873
pl-k00090698;Australien;FORWARD;1478.1;0.46;-0.5798;0.1391;-0.2204;2;0.3273;0.3273;4.066;1.3306;-0.993;-0.325
pl-k00090788;Japan;MIDFIELDER;1843.1;0.71;0.6351;-0.0833;0.2759;6;0.4527;0.2263;4.848;1.0972;1.906;0.4314
pl-k00090828;Schottland;DEFENDER;1775.1;1.42;0.3076;0.4912;0.3994;3;0.475;0.475;4.12;1.957;-0.984;-0.4674
pl-k00090830;Kap Verde;MIDFIELDER;1428.1;0.22;-0.8002;-0.4178;-0.609;3;0.2543;0.2543;3.272;0.8322;-5.876;-1.4945
pl-k00090873;Türkei;DEFENDER;1880.1;0.46;0.6519;-0.2222;0.2148;7;0.4371;0.2186;4.976;1.0875;2.252;0.4922
pl-k00090950;Australien;DEFENDER;1550.6;1.42;-0.4285;0.4912;0.0314;6;0.3994;0.1997;4.066;0.8121;-0.993;-0.1983
pl-k00090958;Brasilien;GOALKEEPER;1427.1;-0.24;-0.4881;-0.7147;-0.6014;3;0.3639;0.1819;5.351;0.9735;5.126;0.9325
pl-k00090996;Argentinien;MIDFIELDER;1863.4;3.58;0.7053;1.8761;1.2907;2;0.6801;0.6801;5.991;4.0744;8.658;5.8882
pl-k00091055;Spanien;FORWARD;1990.6;0.92;1.1139;0.4702;0.7921;3;0.5303;0.5303;6.547;3.4719;13.21;7.0052
pl-k00091083;Kroatien;MIDFIELDER;1770.8;3.58;0.3851;1.8761;1.1306;3;0.6442;0.6442;4.93;3.1759;2.779;1.7902
pl-k00091090;Schottland;MIDFIELDER;1818.8;3.08;0.5511;1.5347;1.0429;3;0.6246;0.6246;4.12;2.5731;-0.984;-0.6146
pl-k00091110;DR Kongo;DEFENDER;1725.3;-0.26;0.1443;-0.7573;-0.3065;5;0.3301;0.165;3.371;0.5564;-4.126;-0.681
pl-k00091130;Österreich;GOALKEEPER;1512.0;1.68;-0.2296;1.229;0.4997;2;0.6244;0.3122;4.129;1.289;-1.1;-0.3434
pl-k00091136;Belgien;FORWARD;1590.6;-0.25;-0.208;-0.372;-0.29;7;0.3133;0.1566;4.876;0.7638;2.814;0.4408
pl-k00091137;Frankreich;FORWARD;2069.0;2.88;1.373;1.8812;1.6271;4;0.6978;0.3489;6.141;2.1425;7.58;2.6445
pl-k00091194;Bosnien-Herzegowina;DEFENDER;1453.9;-0.74;-0.7456;-1.114;-0.9298;7;0.2021;0.1011;3.738;0.3778;-2.61;-0.2638
pl-k00091289;England;FORWARD;2073.2;0.47;1.3869;0.1463;0.7666;5;0.5252;0.2626;5.687;1.4934;6.383;1.6761
pl-k00091305;Marokko;DEFENDER;1836.0;-0.26;0.5073;-0.7573;-0.125;6;0.3673;0.1837;4.418;0.8115;0.331;0.0608
pl-k00091368;Elfenbeinküste;GOALKEEPER;1721.4;2.16;0.4079;1.7149;1.0614;1;0.7573;0.7573;3.89;2.9458;-2.143;-1.6228
pl-k00091403;Südkorea;MIDFIELDER;1637.0;-1.23;-0.0777;-1.4078;-0.7427;6;0.2244;0.1122;4.339;0.4868;0.171;0.0192
pl-k00091409;Frankreich;FORWARD;2014.1;1.19;1.1916;0.6646;0.9281;8;0.5576;0.2788;6.141;1.712;7.58;2.1132
pl-k00091463;Schottland;MIDFIELDER;1969.7;0.7;1.0729;-0.0901;0.4914;4;0.501;0.2505;4.12;1.032;-0.984;-0.2465
pl-k00091537;Frankreich;DEFENDER;2197.6;1.66;1.693;0.6696;1.1813;5;0.6355;0.3178;6.141;1.9513;7.58;2.4086
pl-k00091555;Schweiz;DEFENDER;1641.6;0.22;-0.1301;-0.4006;-0.2653;6;0.3385;0.1693;5.181;0.877;4.737;0.8018
pl-k00091959;Bosnien-Herzegowina;MIDFIELDER;1709.1;0.9;0.1717;0.0464;0.109;2;0.4153;0.4153;3.738;1.5523;-2.61;-1.0838
pl-k00092246;Frankreich;DEFENDER;738.6;;-3.091;0.0;-1.5455;9;0.0757;0.0379;6.141;0.2325;7.58;0.287
pl-k00092347;Kanada;GOALKEEPER;1586.0;-0.24;-0.0043;-0.7147;-0.3595;1;0.4211;0.4211;4.653;1.9593;1.822;0.7672
pl-k00092690;Schweiz;FORWARD;1553.9;0.72;-0.3293;0.3263;-0.0015;4;0.3711;0.1856;5.181;0.9614;4.737;0.8791
pl-k00093122;Portugal;DEFENDER;2125.6;1.2;1.4569;0.3277;0.8923;6;0.5762;0.2881;5.302;1.5275;3.99;1.1495
pl-k00093334;DR Kongo;DEFENDER;1784.6;1.42;0.3388;0.4912;0.415;2;0.4782;0.4782;3.371;1.612;-4.126;-1.9731
pl-k00093378;Kap Verde;DEFENDER;1337.2;0.23;-1.1282;-0.3931;-0.7607;5;0.2368;0.1184;3.272;0.3875;-5.876;-0.6958
pl-k00093439;Portugal;GOALKEEPER;2020.3;1.44;1.3179;0.986;1.152;2;0.7787;0.3894;5.302;2.0643;3.99;1.5535
pl-k00093477;Schottland;MIDFIELDER;2169.6;1.43;1.7643;0.4082;1.0863;2;0.6343;0.6343;4.12;2.6132;-0.984;-0.6241
pl-k00093739;USA;FORWARD;1760.6;1.14;0.3538;0.6286;0.4912;1;0.47;0.47;3.74;1.7576;-2.316;-1.0884
pl-k00093752;Niederlande;DEFENDER;2020.3;-0.72;1.1116;-1.0992;0.0062;5;0.3943;0.1971;5.268;1.0385;3.773;0.7438
pl-k00093879;DR Kongo;MIDFIELDER;1540.1;-0.02;-0.4128;-0.5817;-0.4973;7;0.2794;0.1397;3.371;0.4709;-4.126;-0.5764
pl-k00093952;Kap Verde;GOALKEEPER;1036.4;0.0;-1.6776;-0.4717;-1.0746;3;0.2519;0.1259;3.272;0.4121;-5.876;-0.74
pl-k00094296;Marokko;FORWARD;2079.6;0.7;1.408;0.3119;0.86;2;0.5439;0.5439;4.418;2.403;0.331;0.18
pl-k00094309;Ecuador;FORWARD;1675.6;3.56;0.0729;2.3707;1.2218;1;0.6165;0.6165;5.04;3.1071;4.088;2.5202
pl-k00094312;Panama;DEFENDER;1455.8;0.0;-0.7393;-0.5641;-0.6517;5;0.2592;0.1296;3.879;0.5027;-2.104;-0.2727
pl-k00094313;Panama;DEFENDER;1336.9;0.0;-1.1292;-0.5641;-0.8466;8;0.2192;0.1096;3.879;0.4251;-2.104;-0.2306
pl-k00094314;Panama;DEFENDER;1657.3;0.0;-0.0786;-0.5641;-0.3214;3;0.327;0.327;3.879;1.2685;-2.104;-0.6881
pl-k00094316;Panama;MIDFIELDER;1316.6;0.0;-1.1858;-0.568;-0.8769;7;0.1943;0.0971;3.879;0.3768;-2.104;-0.2044
pl-k00094317;Panama;MIDFIELDER;1675.8;0.93;0.0565;0.0669;0.0617;2;0.4047;0.4047;3.879;1.5696;-2.104;-0.8514
pl-k00094325;Panama;FORWARD;1504.3;-0.48;-0.4932;-0.5376;-0.5154;4;0.2681;0.134;3.879;0.52;-2.104;-0.282
pl-k00094331;Paraguay;MIDFIELDER;1467.1;1.67;-0.6653;0.5721;-0.0466;3;0.3804;0.3804;4.452;1.6935;0.178;0.0677
pl-k00094503;Haiti;FORWARD;1448.3;0.0;-0.6783;-0.192;-0.4352;5;0.2842;0.1421;3.218;0.4572;-5.302;-0.7534
pl-k00094622;Kolumbien;DEFENDER;1744.8;0.46;0.2083;-0.2222;-0.007;4;0.3916;0.1958;5.21;1.02;3.512;0.6876
pl-k00094626;Australien;DEFENDER;1393.6;0.0;-0.9433;-0.5641;-0.7537;12;0.2383;0.1191;4.066;0.4844;-0.993;-0.1183
pl-k00094807;Schweden;FORWARD;2002.8;-0.48;1.1542;-0.5376;0.3083;2;0.4333;0.4333;3.796;1.6447;-2.337;-1.0126
pl-k00094866;Brasilien;FORWARD;2272.5;2.64;2.0455;1.7084;1.877;2;0.7479;0.7479;5.351;4.0019;5.126;3.8336
pl-k00094959;Österreich;MIDFIELDER;1720.6;1.62;0.2114;0.538;0.3747;5;0.4748;0.2374;4.129;0.9802;-1.1;-0.2611
pl-k00095021;Portugal;GOALKEEPER;2277.4;1.92;2.1007;1.4719;1.7863;1;0.9288;0.9288;5.302;4.9245;3.99;3.7059
pl-k00095023;Portugal;DEFENDER;773.7;;-2.9759;0.0;-1.488;9;0.0875;0.0438;5.302;0.2321;3.99;0.1746
pl-k00095030;Schweiz;MIDFIELDER;1498.0;-1.68;-0.5584;-1.715;-1.1367;9;0.1361;0.068;5.181;0.3525;4.737;0.3223
pl-k00095063;Kroatien;MIDFIELDER;1711.2;-0.24;0.1789;-0.7319;-0.2765;9;0.3289;0.1644;4.93;0.8107;2.779;0.457
pl-k00095107;Bosnien-Herzegowina;MIDFIELDER;1560.4;-0.49;-0.3426;-0.9026;-0.6226;7;0.2513;0.1256;3.738;0.4697;-2.61;-0.3279
pl-k00095175;Senegal;DEFENDER;1889.6;-1.7;0.6831;-1.8275;-0.5722;8;0.2755;0.1378;4.598;0.6334;0.171;0.0236
pl-k00095198;Schottland;DEFENDER;1730.0;0.24;0.1597;-0.3857;-0.113;9;0.3698;0.1849;4.12;0.7618;-0.984;-0.1819
pl-k00095199;Norwegen;DEFENDER;2024.9;-1.21;1.1267;-1.4633;-0.1683;4;0.3584;0.1792;4.789;0.8583;0.91;0.1631
pl-k00095254;Elfenbeinküste;MIDFIELDER;1909.6;1.38;0.8651;0.3741;0.6196;2;0.5297;0.5297;3.89;2.0605;-2.143;-1.1351
pl-k00095392;DR Kongo;FORWARD;1836.3;-0.49;0.604;-0.5448;0.0296;2;0.3774;0.3774;3.371;1.2722;-4.126;-1.5571
pl-k00095393;Elfenbeinküste;FORWARD;1957.8;1.66;1.0055;1.0029;1.0042;2;0.5728;0.5728;3.89;2.2284;-2.143;-1.2276
pl-k00095547;Schweden;FORWARD;1628.0;0.0;-0.0844;-0.192;-0.1382;3;0.3437;0.3437;3.796;1.3048;-2.337;-0.8033
pl-k00095604;Irak;GOALKEEPER;860.7;;-2.2125;0.0;-1.1063;2;0.2444;0.1222;3.185;0.3892;-5.568;-0.6804
pl-k00095650;Australien;MIDFIELDER;1578.9;0.23;-0.2786;-0.411;-0.3448;8;0.3135;0.1568;4.066;0.6374;-0.993;-0.1557
pl-k00095657;Argentinien;MIDFIELDER;1820.7;0.46;0.5576;-0.254;0.1518;8;0.4249;0.2124;5.991;1.2726;8.658;1.8392
pl-k00095671;Mexiko;DEFENDER;1635.0;1.67;-0.1518;0.677;0.2626;2;0.4469;0.4469;4.905;2.1921;2.864;1.28
pl-k00095732;Kolumbien;DEFENDER;1621.7;-0.5;-0.1954;-0.9357;-0.5655;6;0.2769;0.1385;5.21;0.7213;3.512;0.4862
pl-k00095741;Schweden;MIDFIELDER;1538.9;0.23;-0.417;-0.411;-0.414;6;0.298;0.149;3.796;0.5657;-2.337;-0.3483
pl-k00095804;Bosnien-Herzegowina;DEFENDER;1623.4;2.85;-0.1898;1.554;0.6821;1;0.533;0.533;3.738;1.9925;-2.61;-1.3912
pl-k00095836;Algerien;FORWARD;1537.1;-0.96;-0.3848;-0.8831;-0.634;10;0.2443;0.1222;3.705;0.4526;-2.846;-0.3476
pl-k00095892;Südafrika;DEFENDER;1524.6;1.17;-0.5138;0.3055;-0.1042;5;0.3716;0.1858;3.314;0.6158;-4.325;-0.8036
pl-k00095993;Türkei;GOALKEEPER;1795.2;3.12;0.6326;2.6867;1.6597;1;0.8988;0.8988;4.976;4.4726;2.252;2.0242
pl-k00096140;Deutschland;DEFENDER;1959.1;4.3;0.9109;2.6316;1.7713;2;0.7566;0.7566;5.097;3.8566;3.97;3.0038
pl-k00096154;Brasilien;GOALKEEPER;1808.5;0.72;0.6731;0.2572;0.4651;2;0.6162;0.3081;5.351;1.6486;5.126;1.5793
pl-k00096210;Schweden;DEFENDER;1594.8;-0.02;-0.2836;-0.5789;-0.4313;8;0.3045;0.1522;3.796;0.5779;-2.337;-0.3558
pl-k00096455;Iran;MIDFIELDER;1829.6;0.93;0.5884;0.0669;0.3277;1;0.4643;0.4643;4.3;1.9963;-0.05;-0.0232
pl-k00096489;Türkei;DEFENDER;2164.5;-0.26;1.5844;-0.7573;0.4136;4;0.4779;0.239;4.976;1.189;2.252;0.5381
pl-k00096513;Niederlande;MIDFIELDER;2073.3;-1.21;1.4313;-1.3941;0.0186;6;0.395;0.1975;5.268;1.0404;3.773;0.7451
pl-k00096516;Curacao;DEFENDER;1485.3;-1.22;-0.6426;-1.4708;-1.0567;8;0.1761;0.088;3.121;0.2748;-6.73;-0.5925
pl-k00096664;Katar;FORWARD;1617.4;0.23;-0.1195;-0.0265;-0.073;2;0.3568;0.3568;3.194;1.1397;-5.532;-1.9739
pl-k00096665;Schottland;GOALKEEPER;1693.9;-0.24;0.3242;-0.7147;-0.1952;1;0.4599;0.4599;4.12;1.895;-0.984;-0.4526
pl-k00096715;Kolumbien;DEFENDER;1919.1;2.58;0.7798;1.3533;1.0666;1;0.612;0.612;5.21;3.1883;3.512;2.1492
pl-k00096721;Algerien;GOALKEEPER;1260.8;0.0;-0.9944;-0.4717;-0.7331;2;0.3327;0.1663;3.705;0.6163;-2.846;-0.4734
pl-k00096723;Senegal;FORWARD;1903.4;-0.03;0.8257;-0.2136;0.306;2;0.4328;0.4328;4.598;1.9901;0.171;0.074
pl-k00096767;Tschechien;MIDFIELDER;1845.5;2.36;0.6434;1.0432;0.8433;1;0.5798;0.5798;4.198;2.4341;-0.433;-0.2511
pl-k00096835;Belgien;FORWARD;2067.0;-0.28;1.3664;-0.3936;0.4864;4;0.469;0.2345;4.876;1.1434;2.814;0.6599
pl-k00096877;Australien;MIDFIELDER;1605.2;1.41;-0.1877;0.3946;0.1035;3;0.414;0.414;4.066;1.6834;-0.993;-0.4111
pl-k00096971;Katar;FORWARD;1707.5;1.2;0.1783;0.6718;0.4251;1;0.4567;0.4567;3.194;1.4587;-5.532;-2.5264
pl-k00097030;Elfenbeinküste;DEFENDER;1748.4;-0.74;0.2201;-1.114;-0.447;8;0.3012;0.1506;3.89;0.5859;-2.143;-0.3228
pl-k00097143;USA;MIDFIELDER;1866.4;2.58;0.7157;1.1934;0.9545;2;0.6047;0.6047;3.74;2.2618;-2.316;-1.4006
pl-k00097277;Mexiko;MIDFIELDER;1760.1;2.14;0.348;0.893;0.6205;2;0.5299;0.5299;4.905;2.5991;2.864;1.5176
pl-k00097322;Schweiz;MIDFIELDER;1528.6;1.4;-0.4526;0.3878;-0.0324;5;0.3836;0.1918;5.181;0.9936;4.737;0.9085
pl-k00097376;Algerien;GOALKEEPER;1316.5;-0.48;-0.8248;-0.9576;-0.8912;3;0.2953;0.1476;3.705;0.547;-2.846;-0.4202
pl-k00097512;Frankreich;FORWARD;1777.6;-0.04;0.41;-0.2208;0.0946;9;0.3904;0.1952;6.141;1.1988;7.58;1.4797
pl-k00097518;Algerien;MIDFIELDER;1941.1;1.2;0.974;0.2512;0.6126;3;0.5281;0.5281;3.705;1.9567;-2.846;-1.503
pl-k00097593;Kap Verde;MIDFIELDER;1505.9;0.45;-0.5311;-0.2608;-0.396;2;0.3021;0.3021;3.272;0.9884;-5.876;-1.7751
pl-k00097599;Schottland;DEFENDER;1743.9;2.14;0.2053;1.0263;0.6158;2;0.5194;0.5194;4.12;2.14;-0.984;-0.5111
pl-k00097772;Mexiko;DEFENDER;1919.1;0.24;0.7798;-0.3857;0.197;3;0.4335;0.4335;4.905;2.1261;2.864;1.2414
pl-k00097808;Elfenbeinküste;DEFENDER;1686.4;2.14;0.0168;1.0263;0.5216;4;0.5001;0.25;3.89;0.9726;-2.143;-0.5358
pl-k00097868;Türkei;DEFENDER;2012.4;1.42;1.0857;0.4912;0.7885;2;0.5549;0.5549;4.976;2.761;2.252;1.2496
pl-k00098067;Mexiko;MIDFIELDER;1857.0;0.0;0.6832;-0.568;0.0576;7;0.4037;0.2019;4.905;0.9901;2.864;0.5781
pl-k00098095;Niederlande;MIDFIELDER;1948.7;-0.72;1.0003;-1.0596;-0.0296;7;0.3842;0.1921;5.268;1.0119;3.773;0.7248
pl-k00098133;DR Kongo;DEFENDER;1906.3;0.43;0.7378;-0.2445;0.2467;3;0.4436;0.4436;3.371;1.4955;-4.126;-1.8304
pl-k00098162;England;MIDFIELDER;2217.1;5.97;1.9286;3.5077;2.7182;1;1.0;1.0;5.687;5.687;6.383;6.383
pl-k00098210;Ägypten;DEFENDER;803.7;-0.02;-2.8775;-0.5789;-1.7282;7;0.0382;0.0191;3.951;0.0755;-1.446;-0.0276
pl-k00098226;Marokko;GOALKEEPER;1577.2;0.24;-0.0311;-0.2288;-0.1299;2;0.4754;0.2377;4.418;1.0502;0.331;0.0787
pl-k00098238;DR Kongo;MIDFIELDER;1551.7;-0.72;-0.3727;-1.0596;-0.7161;10;0.2303;0.1152;3.371;0.3882;-4.126;-0.4752
pl-k00098347;Iran;MIDFIELDER;1336.9;0.7;-1.1156;-0.0901;-0.6029;4;0.2557;0.1279;4.3;0.5498;-0.05;-0.0064
pl-k00098354;Algerien;MIDFIELDER;1741.7;0.47;0.2844;-0.2472;0.0186;5;0.395;0.1975;3.705;0.7317;-2.846;-0.5621
pl-k00098506;Paraguay;MIDFIELDER;1791.0;1.19;0.4549;0.2444;0.3497;1;0.4692;0.4692;4.452;2.0888;0.178;0.0835
pl-k00098535;Ägypten;MIDFIELDER;1337.8;-0.01;-1.1125;-0.5749;-0.8437;9;0.2017;0.1009;3.951;0.3986;-1.446;-0.1459
pl-k00098554;Marokko;DEFENDER;2193.3;1.88;1.6789;0.8331;1.256;1;0.6508;0.6508;4.418;2.8754;0.331;0.2154
