ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00098653;Hannes;Delcroix;Delcroix;Hannes Delcroix;Haiti;DEFENDER;2000000;0;0.0
pl-k00098656;Sander;Berge;Berge;Sander Berge;Norwegen;MIDFIELDER;4000000;0;0.0
pl-k00098820;Gabriel;dos Santos Magalhaes;Gabriel;Gabriel;Brasilien;DEFENDER;6000000;0;0.0
pl-k00098854;Pervis;Estupinan;Estupinan;Pervis Estupinan;Ecuador;DEFENDER;6000000;19;3.0
pl-k00098905;Miro;Muheim;Muheim;Miro Muheim;Schweiz;DEFENDER;2000000;0;0.0
pl-k00099269;Auston;Trusty;Trusty;Auston Trusty;USA;DEFENDER;2000000;0;0.0
pl-k00099308;Miles;Robinson;M. Robinson;Miles Robinson;USA;DEFENDER;2000000;0;0.0
pl-k00099343;Michael Amir;Murillo;Murillo;Michael Amir Murillo;Panama;DEFENDER;4000000;0;0.0
pl-k00099347;Tyler;Adams;T. Adams;Tyler Adams;USA;MIDFIELDER;4000000;29;2.88
pl-k00099350;Derrick;Etienne Jr.;Etienne Jr.;Derrick Etienne Jr.;Haiti;FORWARD;1000000;0;0.0
pl-k00099370;Richie;Laryea;Laryea;Richie Laryea;Kanada;DEFENDER;4000000;12;3.25
pl-k00099403;Cristian;Roldan;C. Roldan;Cristian Roldan;USA;MIDFIELDER;2000000;0;0.0
pl-k00099454;Cristian;Martinez;Martinez;Cristian Martinez;Panama;MIDFIELDER;2000000;0;0.0
pl-k00099476;Matt;Turner;Turner;Matt Turner;USA;GOALKEEPER;2000000;36;2.5
pl-k00099583;Alphonso;Davies;Davies;Alphonso Davies;Kanada;DEFENDER;6000000;15;3.67
pl-k00099757;Mattias;Svanberg;Svanberg;Mattias Svanberg;Schweden;MIDFIELDER;4000000;0;0.0
pl-k00099758;Dennis;Hadzikadunic;Hadzikadunic;Dennis Hadzikadunic;Bosnien-Herzegowina;DEFENDER;2000000;0;0.0
pl-k00099888;Jean-Kevin;Duverne;Duverne;Jean-Kevin Duverne;Haiti;DEFENDER;2000000;0;0.0
pl-k00099891;Jean-Ricner;Bellegarde;Bellegarde;Jean-Ricner Bellegarde;Haiti;MIDFIELDER;2000000;0;0.0
pl-k00099911;Rodrigo;Bentancur;Bentancur;Rodrigo Bentancur;Uruguay;MIDFIELDER;4000000;16;3.17
pl-k00100096;Scott;McTominay;McTominay;Scott McTominay;Schottland;MIDFIELDER;6000000;0;0.0
pl-k00100132;Leonardo;Pereira;Leo Pereira;Leo Pereira;Brasilien;DEFENDER;2000000;0;0.0
pl-k00100297;Amine;Gouiri;Gouiri;Amine Gouiri;Algerien;FORWARD;4000000;0;0.0
pl-k00100385;Angel;Romero;A. Romero;Angel Romero;Paraguay;FORWARD;1000000;0;0.0
pl-k00100539;Billy;Gilmour;Gilmour;Billy Gilmour;Schottland;MIDFIELDER;4000000;0;0.0
pl-k00100729;Lucas Tolentino;Coelho de Lima;Lucas Paqueta;Lucas Paqueta;Brasilien;MIDFIELDER;6000000;33;2.75
pl-k00100735;Vinicius José;Paixao de Oliveira Junior;Vinicius Junior;Vinicius Junior;Brasilien;FORWARD;10000000;38;2.5
