ID;Verein;Position;Elo;Elo-Stärke;exp_games;Erwartete Spiele (Elo);exp_gd;Erwartete Tordifferenz (Elo)
pl-k00085376;DR Kongo;DEFENDER;1731.0;0.8351;3.371;2.815;-4.126;-3.4455
pl-k00085378;Tschechien;GOALKEEPER;1639.7;0.8717;4.198;3.6595;-0.433;-0.3775
pl-k00085465;Kroatien;MIDFIELDER;1742.1;0.7828;4.93;3.8593;2.779;2.1755
pl-k00085665;Brasilien;GOALKEEPER;2047.8;0.9011;5.351;4.8219;5.126;4.6192
pl-k00085696;Belgien;MIDFIELDER;1903.8;0.8639;4.876;4.2122;2.814;2.4309
pl-k00085778;Tschechien;FORWARD;1881.0;1.0;4.198;4.198;-0.433;-0.433
pl-k00085906;Schottland;DEFENDER;1912.1;0.8813;4.12;3.631;-0.984;-0.8672
pl-k00085917;Schottland;FORWARD;1686.0;0.7771;4.12;3.2017;-0.984;-0.7647
pl-k00086035;Portugal;FORWARD;1940.3;0.8275;5.302;4.3872;3.99;3.3015
pl-k00086109;Kroatien;DEFENDER;1862.9;0.8371;4.93;4.1269;2.779;2.3263
pl-k00086141;Deutschland;FORWARD;2046.5;0.9334;5.097;4.7574;3.97;3.7055
pl-k00086183;Tschechien;DEFENDER;1811.9;0.9633;4.198;4.0438;-0.433;-0.4171
pl-k00086391;Spanien;DEFENDER;1907.2;0.8064;6.547;5.2792;13.21;10.652
pl-k00086584;Ghana;FORWARD;1860.4;0.8788;3.144;2.763;-6.374;-5.6017
pl-k00086910;Spanien;FORWARD;1711.8;0.7237;6.547;4.7384;13.21;9.5607
pl-k00087248;Uruguay;GOALKEEPER;1823.8;0.8808;4.672;4.1149;1.55;1.3652
pl-k00087254;Kroatien;DEFENDER;1673.3;0.7519;4.93;3.7069;2.779;2.0896
pl-k00087278;Norwegen;MIDFIELDER;1677.9;0.7332;4.789;3.5111;0.91;0.6672
pl-k00087371;Bosnien-Herzegowina;GOALKEEPER;1295.1;0.7034;3.738;2.6293;-2.61;-1.8359
pl-k00087507;Kap Verde;DEFENDER;1572.8;0.8009;3.272;2.6204;-5.876;-4.7058
pl-k00087512;Haiti;GOALKEEPER;1217.1;0.7273;3.218;2.3404;-5.302;-3.856
pl-k00087534;Frankreich;MIDFIELDER;1840.3;0.8164;6.141;5.0137;7.58;6.1885
pl-k00087576;Ghana;DEFENDER;1791.3;0.8462;3.144;2.6604;-6.374;-5.3936
pl-k00087622;Türkei;GOALKEEPER;;0.0;4.976;0.0;2.252;0.0
pl-k00087673;Schweiz;GOALKEEPER;2011.4;0.9701;5.181;5.0261;4.737;4.5954
pl-k00087704;Österreich;DEFENDER;1938.1;0.8881;4.129;3.667;-1.1;-0.9769
pl-k00087705;Bosnien-Herzegowina;FORWARD;1803.6;0.9796;3.738;3.6617;-2.61;-2.5567
pl-k00087735;Türkei;FORWARD;1762.5;0.8498;4.976;4.2288;2.252;1.9139
pl-k00087750;Deutschland;DEFENDER;1971.0;0.8989;5.097;4.5819;3.97;3.5688
pl-k00087823;Südkorea;MIDFIELDER;1108.1;0.5769;4.339;2.5033;0.171;0.0987
pl-k00087867;Elfenbeinküste;MIDFIELDER;2078.3;1.0;3.89;3.89;-2.143;-2.143
pl-k00087885;Deutschland;FORWARD;1909.0;0.8707;5.097;4.4377;3.97;3.4565
pl-k00087974;Tschechien;MIDFIELDER;;0.0;4.198;0.0;-0.433;-0.0
pl-k00088045;Spanien;DEFENDER;2124.2;0.8981;6.547;5.8799;13.21;11.864
pl-k00088049;Spanien;FORWARD;2058.3;0.8702;6.547;5.6975;13.21;11.4959
pl-k00088147;Algerien;GOALKEEPER;1632.4;0.8068;3.705;2.9893;-2.846;-2.2963
pl-k00088151;Frankreich;DEFENDER;2243.4;0.9953;6.141;6.1118;7.58;7.544
pl-k00088249;Curacao;FORWARD;1503.4;0.8629;3.121;2.6932;-6.73;-5.8075
pl-k00088739;Uruguay;MIDFIELDER;1919.7;0.9271;4.672;4.3313;1.55;1.437
pl-k00088771;USA;MIDFIELDER;1883.5;0.8966;3.74;3.3531;-2.316;-2.0764
pl-k00088866;Paraguay;DEFENDER;;0.0;4.452;0.0;0.178;0.0
pl-k00088946;Curacao;FORWARD;;0.0;3.121;0.0;-6.73;-0.0
pl-k00088970;Ghana;GOALKEEPER;1663.6;0.7859;3.144;2.4708;-6.374;-5.0091
pl-k00089012;Niederlande;FORWARD;1561.9;0.6903;5.268;3.6362;3.773;2.6043
pl-k00089060;Japan;DEFENDER;;0.0;4.848;0.0;1.906;0.0
pl-k00089096;Portugal;GOALKEEPER;1803.6;0.7692;5.302;4.0781;3.99;3.0689
pl-k00089148;Schweden;DEFENDER;2023.9;0.9498;3.796;3.6054;-2.337;-2.2197
pl-k00089308;Schweiz;MIDFIELDER;1668.4;0.8047;5.181;4.169;4.737;3.8117
pl-k00089313;Spanien;GOALKEEPER;1902.6;0.8044;6.547;5.2665;13.21;10.6263
pl-k00089321;Spanien;MIDFIELDER;2165.5;0.9156;6.547;5.9942;13.21;12.0946
pl-k00089322;Spanien;MIDFIELDER;2206.3;0.9328;6.547;6.1072;13.21;12.3225
pl-k00089356;Schweiz;DEFENDER;2073.4;1.0;5.181;5.181;4.737;4.737
pl-k00089361;Schweiz;MIDFIELDER;1882.8;0.9081;5.181;4.7047;4.737;4.3015
pl-k00089434;Österreich;MIDFIELDER;1870.3;0.857;4.129;3.5387;-1.1;-0.9427
pl-k00089444;Frankreich;FORWARD;;0.0;6.141;0.0;7.58;0.0
pl-k00089452;Kap Verde;MIDFIELDER;;0.0;3.272;0.0;-5.876;-0.0
pl-k00089457;Niederlande;MIDFIELDER;;0.0;5.268;0.0;3.773;0.0
pl-k00089649;Algerien;DEFENDER;2023.2;1.0;3.705;3.705;-2.846;-2.846
pl-k00089655;Tunesien;MIDFIELDER;1708.2;0.9624;3.434;3.3048;-3.766;-3.6243
pl-k00089781;Haiti;DEFENDER;1629.0;0.9734;3.218;3.1324;-5.302;-5.161
pl-k00090003;Curacao;MIDFIELDER;;0.0;3.121;0.0;-6.73;-0.0
pl-k00090018;Marokko;MIDFIELDER;;0.0;4.418;0.0;0.331;0.0
pl-k00090022;Curacao;FORWARD;1431.0;0.8214;3.121;2.5635;-6.73;-5.5279
pl-k00090036;England;FORWARD;2025.5;0.9111;5.687;5.1813;6.383;5.8154
pl-k00090042;Österreich;DEFENDER;1747.3;0.8007;4.129;3.306;-1.1;-0.8807
pl-k00090213;Österreich;DEFENDER;1904.2;0.8726;4.129;3.6028;-1.1;-0.9598
pl-k00090353;Türkei;DEFENDER;;0.0;4.976;0.0;2.252;0.0
pl-k00090404;Portugal;DEFENDER;1855.6;0.7913;5.302;4.1957;3.99;3.1574
pl-k00090515;Spanien;MIDFIELDER;1993.3;0.8428;6.547;5.5176;13.21;11.1329
pl-k00090525;Kolumbien;MIDFIELDER;;0.0;5.21;0.0;3.512;0.0
pl-k00090574;Kroatien;GOALKEEPER;2081.4;0.9353;4.93;4.611;2.779;2.5992
pl-k00090698;Australien;FORWARD;1478.1;0.7754;4.066;3.1527;-0.993;-0.7699
pl-k00090788;Japan;MIDFIELDER;;0.0;4.848;0.0;1.906;0.0
pl-k00090828;Schottland;DEFENDER;1775.1;0.8182;4.12;3.3709;-0.984;-0.8051
pl-k00090830;Kap Verde;MIDFIELDER;1428.1;0.7272;3.272;2.3793;-5.876;-4.2729
pl-k00090873;Türkei;DEFENDER;1880.1;0.9066;4.976;4.511;2.252;2.0416
pl-k00090950;Australien;DEFENDER;1550.6;0.8134;4.066;3.3073;-0.993;-0.8077
pl-k00090958;Brasilien;GOALKEEPER;1427.1;0.628;5.351;3.3604;5.126;3.2191
pl-k00090996;Argentinien;MIDFIELDER;;0.0;5.991;0.0;8.658;0.0
pl-k00091000;Mexiko;FORWARD;;0.0;4.905;0.0;2.864;0.0
pl-k00091055;Spanien;FORWARD;1990.6;0.8416;6.547;5.5101;13.21;11.1178
pl-k00091083;Kroatien;MIDFIELDER;1770.8;0.7957;4.93;3.9229;2.779;2.2113
pl-k00091090;Schottland;MIDFIELDER;1818.8;0.8383;4.12;3.4538;-0.984;-0.8249
pl-k00091110;DR Kongo;DEFENDER;1725.3;0.8323;3.371;2.8057;-4.126;-3.4341
pl-k00091130;Österreich;GOALKEEPER;1512.0;0.6928;4.129;2.8608;-1.1;-0.7621
pl-k00091136;Belgien;FORWARD;1590.6;0.7218;4.876;3.5193;2.814;2.031
pl-k00091137;Frankreich;FORWARD;;0.0;6.141;0.0;7.58;0.0
pl-k00091194;Bosnien-Herzegowina;DEFENDER;1453.9;0.7896;3.738;2.9517;-2.61;-2.061
pl-k00091289;England;FORWARD;2073.2;0.9325;5.687;5.3033;6.383;5.9523
pl-k00091305;Marokko;DEFENDER;1836.0;0.8371;4.418;3.6983;0.331;0.2771
pl-k00091368;Elfenbeinküste;GOALKEEPER;1721.4;0.8283;3.89;3.222;-2.143;-1.775
pl-k00091403;Südkorea;MIDFIELDER;1637.0;0.8523;4.339;3.6981;0.171;0.1457
