ID;Marktwert TM;TM-ID;TM-Name;Verein
pl-k00098354;9000000.0;351816;Ismaël Bennacer;Algerien
pl-k00098506;4500000.0;323872;Andrés Cubas;Paraguay
pl-k00098554;80000000.0;398073;Achraf Hakimi;Marokko
pl-k00098565;450000.0;243633;Aaron Tshibola;DR Kongo
pl-k00098653;4000000.0;338635;Hannes Delcroix;Haiti
pl-k00098656;25000000.0;333014;Sander Berge;Norwegen
pl-k00098820;75000000.0;435338;Gabriel;Brasilien
pl-k00098854;14000000.0;349599;Pervis Estupiñán;Ecuador
pl-k00098905;;298603;Miro Muheim;Schweiz
pl-k00099269;5000000.0;389253;Auston Trusty;USA
pl-k00099308;;468022;Miles Robinson;USA
pl-k00099343;10000000.0;354482;Amir Murillo;Panama
pl-k00099347;25000000.0;332705;Tyler Adams;USA
pl-k00099350;;354763;Derrick Etienne Jr.;Haiti
pl-k00099370;;417348;Richie Laryea;Kanada
pl-k00099403;;354792;Cristian Roldán;USA
pl-k00099454;;419247;Cristian Martínez;Panama
pl-k00099476;7000000.0;425306;Matt Turner;USA
pl-k00099583;50000000.0;424204;Alphonso Davies;Kanada
pl-k00099757;12000000.0;342405;Mattias Svanberg;Schweden
pl-k00099758;3000000.0;322065;Dennis Hadzikadunic;Bosnien-Herzegowina
pl-k00099888;3500000.0;344864;Jean-Kévin Duverne;Haiti
pl-k00099891;15000000.0;450050;Jean-Ricner Bellegarde;Haiti
pl-k00099911;27000000.0;354362;Rodrigo Bentancur;Uruguay
pl-k00100096;45000000.0;315969;Scott McTominay;Schottland
pl-k00100132;;288431;Léo Pereira;Brasilien
pl-k00100297;28000000.0;418659;Amine Gouiri;Algerien
pl-k00100385;;262262;Ángel Romero;Paraguay
pl-k00100539;20000000.0;423744;Billy Gilmour;Schottland
pl-k00100729;35000000.0;444523;Lucas Paquetá;Brasilien
pl-k00100735;180000000.0;371998;Vinicius Junior;Brasilien
pl-k00100766;60000000.0;487465;Pedro Neto;Portugal
pl-k00100782;30000000.0;398184;Ferran Torres;Spanien
pl-k00100789;55000000.0;392757;Marc Guéhi;England
pl-k00100804;5000000.0;361260;Ozan Kabak;Türkei
pl-k00100814;5000000.0;396908;Yunus Akgün;Türkei
pl-k00100992;4000000.0;428061;Riley McGree;Australien
pl-k00101025;;81723;Michael Boxall;Neuseeland
pl-k00101031;;256019;Alex Rufer;Neuseeland
pl-k00101100;30000000.0;405398;Takefusa Kubo;Japan
pl-k00101109;1200000.0;422051;Nikola Katic;Bosnien-Herzegowina
pl-k00101120;8000000.0;448632;Yehvann Diouf;Senegal
pl-k00101133;28000000.0;258919;Dean Henderson;England
pl-k00101135;35000000.0;413403;Ezri Konsa;England
pl-k00101264;1800000.0;198614;Tomas Chory;Tschechien
pl-k00101284;10000000.0;438001;Santiago Bueno;Uruguay
pl-k00101285;;320739;Santiago Mele;Uruguay
pl-k00101287;;430339;José Luis Rodríguez;Uruguay
pl-k00101288;18000000.0;376514;Mathías Olivera;Uruguay
pl-k00101293;;397458;Nicolás de la Cruz;Uruguay
pl-k00101298;120000000.0;369081;Federico Valverde;Uruguay
pl-k00101299;10000000.0;439072;Matías Viña;Uruguay
pl-k00101301;;457533;Agustín Canobbio;Uruguay
pl-k00101347;8000000.0;131225;Nicolás Tagliafico;Argentinien
pl-k00101356;45000000.0;357119;Ibrahima Konaté;Frankreich
pl-k00101378;75000000.0;520624;Bruno Guimarães;Brasilien
pl-k00101481;12000000.0;356141;Daichi Kamada;Japan
pl-k00101588;;273742;Viktor Johansson;Schweden
pl-k00101599;70000000.0;325443;Viktor Gyökeres;Schweden
pl-k00101605;35000000.0;516716;Bremer;Brasilien
pl-k00101629;90000000.0;357164;Rafael Leão;Portugal
pl-k00101633;3000000.0;339337;Armando Obispo;Curacao
pl-k00101636;28000000.0;360518;Teun Koopmeiners;Niederlande
pl-k00101638;25000000.0;339332;Noa Lang;Niederlande
pl-k00101663;50000000.0;472423;Reece James;England
pl-k00101765;2000000.0;369567;Sasa Kalajdzic;Österreich
pl-k00101781;45000000.0;517894;Matheus Cunha;Brasilien
pl-k00101783;9000000.0;345886;Rubén Vargas;Schweiz
pl-k00101913;;283473;Yoel Bárcenas;Panama
pl-k00101917;;402979;Orlando Mosquera;Panama
pl-k00102015;450000.0;328455;Juriën Gaari;Curacao
pl-k00102117;16000000.0;291200;Moussa Niakhaté;Senegal
pl-k00102402;25000000.0;326029;Donyell Malen;Niederlande
pl-k00102731;32000000.0;483046;Josip Stanisic;Kroatien
pl-k00102793;800000.0;306166;Nuno Da Costa;Kap Verde
pl-k00102800;18000000.0;324278;Christoph Baumgartner;Österreich
pl-k00102817;18000000.0;358504;Ritsu Doan;Japan
pl-k00103233;1200000.0;353403;Samuel Moutoussamy;DR Kongo
pl-k00103347;350000.0;395928;Marco Pašalić;Kroatien
pl-k00103453;65000000.0;460939;Tijjani Reijnders;Niederlande
pl-k00103853;25000000.0;503482;Min-jae Kim;Südkorea
pl-k00103860;;260171;Hyeon-woo Jo;Südkorea
pl-k00103878;65000000.0;445939;Omar Marmoush;Ägypten
pl-k00104033;3500000.0;397171;Gideon Mensah;Ghana
pl-k00104228;450000.0;188312;Ramin Rezaeian;Iran
pl-k00104230;6500000.0;422763;Nicolas Raskin;Belgien
pl-k00104271;6000000.0;298091;Harry Souttar;Australien
pl-k00104274;2500000.0;395695;Elisha Owusu;Ghana
pl-k00104317;45000000.0;443710;Angelo Stiller;Deutschland
pl-k00104437;700000.0;542380;Amirhossein Hosseinzadeh;Iran
pl-k00104441;;495320;Martin Zlomislic;Bosnien-Herzegowina
pl-k00104485;20000000.0;370789;Julian Ryerson;Norwegen
pl-k00104568;;262845;Mohammed Al-Owais;Saudi-Arabien
pl-k00104581;;1173786;Saud Salem;Saudi-Arabien
pl-k00104617;;491553;Jáminton Campaz;Kolumbien
pl-k00104723;1300000.0;333355;Milad Mohammadi;Iran
pl-k00104735;2500000.0;307058;Mehdi Taremi;Iran
pl-k00104808;;207843;Max Crocombe;Neuseeland
pl-k00104975;;422594;Keita Nakamura;Japan
pl-k00104978;15000000.0;552057;Adam Hlozek;Tschechien
pl-k00105008;2000000.0;400797;Callum McCowatt;Neuseeland
pl-k00105180;25000000.0;518505;Jamie Leweling;Deutschland
pl-k00105212;2200000.0;500091;Ersin Destanoğlu;Türkei
pl-k00105223;60000000.0;503733;Anthony Gordon;England
pl-k00105391;3500000.0;348791;Junya Ito;Japan
pl-k00105434;22000000.0;340456;Noussair Mazraoui;Marokko
pl-k00105471;;545810;Jacob Italiano;Australien
pl-k00105695;;68626;Abdullah Al-Hamdan;Saudi-Arabien
pl-k00105718;3000000.0;390379;Mustafa Eskihellaç;Türkei
pl-k00105800;11000000.0;512913;Stephen Eustaquio;Kanada
pl-k00105812;70000000.0;434675;Cody Gakpo;Niederlande
pl-k00105828;2500000.0;211474;Ali Abdi;Tunesien
pl-k00105829;1300000.0;450417;Dylan Bronn;Tunesien
